Long_Desc,NutrDesc,Nutr_Val,Amount,Msre_Desc,Gm_Wgt
PACE;  Spicy Jalapeno Refried Beans,Water,82.4,0.5,cup,120
Caribou;  hind quarter;  meat;  cooked (Alaska Native),Water,65.47,0.5,cup,66
KASHI;  Pilaf;  7 Whole Grain;  unprepared,Water,7.7,0.5,cup,140
Desserts;  egg custard;  baked;  prepared-from-recipe,Water,78.86,0.5,cup,141
WORTHINGTON Vegetable Skallops;  canned;  unprepared,Water,73,0.5,cup,85
Gelatin desserts;  dry mix;  reduced calorie;  with aspartame;  prepared with water,Water,94.74,0.5,cup,117
SUNSHINE;  CHEEZ-IT;  Snack Mix,Water,3,0.5,cup,30
CAMPBELL'S Red and White;  Italian Style Wedding Soup;  condensed,Water,83.2,0.5,cup,126
Desserts;  apple crisp;  prepared-from-recipe,Water,62.91,0.5,cup,141
Puddings;  chocolate;  dry mix;  instant;  prepared with whole milk,Water,73.6,0.5,cup,147
Puddings;  tapioca;  dry mix;  prepared with whole milk,Water,73.97,0.5,cup,128
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Water,73.5,0.5,cup,142
Peas;  green;  canned;  no salt added;  solids and liquids,Water,85.92,0.5,cup,124
CAMPBELL'S Red and White;  Lentil Soup;  condensed,Water,71.2,0.5,cup,126
Potato salad with egg,Water,70.99,0.5,cup,125
Tofu;  firm;  prepared with calcium sulfate and magnesium chloride (nigari),Water,84.95,0.5,cup,126
Tofu;  raw;  regular;  prepared with calcium sulfate,Water,84.55,0.5,cup,124
Puddings;  banana;  dry mix;  regular;  prepared with whole milk,Water,74.96,0.5,cup,127
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Water,73.94,0.5,cup,128
Puddings;  rice;  dry mix;  prepared with whole milk,Water,72.42,0.5,cup,128
Desserts;  flan;  caramel custard;  prepared-from-recipe,Water,68.05,0.5,cup,153
Egg custards;  dry mix;  prepared with whole milk,Water,73.45,0.5,cup,141
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Water,74.4,0.5,cup,147
Puddings;  chocolate;  dry mix;  regular;  prepared with whole milk,Water,73.13,0.5,cup,142
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  with salt,Water,90.72,0.5,cup,92
Lotus root;  cooked;  boiled;  drained;  with salt,Water,81.42,0.5,cup,60
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Water,74.49,0.5,cup,140
Puddings;  vanilla;  dry mix;  regular;  prepared with 2% milk,Water,75.86,0.5,cup,128
Campbell's Brown Sugar And Bacon Flavored Baked Beans,Water,69.4,0.5,cup,130
Puddings;  coconut cream;  dry mix;  regular;  prepared with 2% milk,Water,75.6,0.5,cup,140
Soup;  clam chowder;  new england;  canned;  condensed,Water,81.49,0.5,cup,126
Gelatin desserts;  dry mix;  prepared with water,Water,84.39,0.5,cup,135
Potatoes;  hash brown;  frozen;  plain;  unprepared,Water,78.85,0.5,cup,105
Egg custards;  dry mix;  prepared with 2% milk,Water,74.44,0.5,cup,141
Soup;  vegetarian vegetable;  canned;  condensed,Water,84.91,0.5,cup,126
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Water,79.52,0.5,cup,80
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Water,77.46,0.5,cup,78
Peas and carrots;  frozen;  unprepared,Water,84.36,0.5,cup,70
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Water,83.23,0.5,cup,91
Soup;  vegetable with beef broth;  canned;  condensed,Water,83.27,0.5,cup,123
Soybeans;  mature seeds;  sprouted;  raw,Water,69.05,0.5,cup,35
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Water,88.94,0.5,cup,95
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra light syrup;  solids and liquids,Water,87.7,0.5,cup,123
Cereals;  QUAKER;  Whole Wheat Natural Cereal;  dry,Water,9.8,0.5,cup,40
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Water,76.43,0.5,cup,130
Soup;  vegetable beef;  canned;  condensed,Water,83.69,0.5,cup,126
Cereals;  QUAKER;  Quick Oats;  Dry,Water,9.37,0.5,cup,40
CAMPBELL'S;  Red and White;  Chicken Noodle Soup;  condensed,Water,88.32,0.5,cup,123
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Water,85.8,0.5,cup,124
Asparagus;  canned;  regular pack;  solids and liquids,Water,94.32,0.5,cup,122
Rowal;  raw,Water,71.4,0.5,cup,114
Tomato products;  canned;  sauce;  with herbs and cheese,Water,83.43,0.5,cup,122
Soup;  vegetable;  canned;  low sodium;  condensed,Water,82.79,0.5,cup,126
Soup;  chicken mushroom;  canned;  condensed,Water,80.4,0.5,cup,124
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Water,73.55,0.5,cup,78
Abiyuch;  raw,Water,79.9,0.5,cup,114
Soup;  cream of potato;  canned;  condensed,Water,82,0.5,cup,124
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Water,76.98,0.5,cup,78
Peas and onions;  frozen;  unprepared,Water,81.5,0.5,cup,69
Potatoes;  baked;  flesh;  without salt,Water,75.42,0.5,cup,61
Soup;  pea;  green;  canned;  condensed,Water,68.54,0.5,cup,128
Cereals;  QUAKER;  Quick Oats with Iron;  Dry,Water,9.38,0.5,cup,40
Soup;  cream of mushroom;  canned;  condensed,Water,84.7,0.5,cup,126
Potatoes;  baked;  flesh;  with salt,Water,75.42,0.5,cup,61
Asparagus;  cooked;  boiled;  drained;  with salt,Water,92.63,0.5,cup,90
Fat free ice cream;  no sugar added;  flavors other than chocolate,Water,65.52,0.5,cup,68
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Water,94.68,0.5,cup,120
HEALTHY REQUEST;  Chicken with Rice;  condensed,Water,88.8,0.5,cup,126
Ice cream;  soft serve;  chocolate,Water,59.8,0.5,cup,86
Cheese;  ricotta;  whole milk,Water,71.7,0.5,cup,124
Soup;  cheese;  canned;  condensed,Water,81.69,0.5,cup,124
Soup;  chicken with rice;  canned;  condensed,Water,83.15,0.5,cup,126
Soup;  chicken noodle;  canned;  condensed,Water,88.2,0.5,cup,124
Cheese;  ricotta;  part skim milk,Water,74.41,0.5,cup,124
Soup;  beef broth bouillon and consomme;  canned;  condensed,Water,94.76,0.5,cup,124
Asparagus;  cooked;  boiled;  drained,Water,92.63,0.5,cup,90
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Water,94.68,0.5,cup,120
Soup;  chicken vegetable;  canned;  condensed,Water,85.52,0.5,cup,121
Soup;  beef noodle;  canned;  condensed,Water,84.42,0.5,cup,125
Beans;  snap;  yellow;  canned;  regular pack;  solids and liquids,Water,94.68,0.5,cup,120
Tomatoes;  crushed;  canned,Water,89.44,0.5,cup,121
Soup;  cream of celery;  canned;  condensed,Water,84.96,0.5,cup,126
Yogurt;  frozen;  flavors not chocolate;  nonfat milk;  with low-calorie sweetener,Water,73.5,0.5,cup,68
Soup;  bean with pork;  canned;  condensed,Water,70.17,0.5,cup,130
Peas;  green;  canned;  regular pack;  solids and liquids,Water,85.13,0.5,cup,124
Beans;  lima;  immature seeds;  canned;  regular pack;  solids and liquids,Water,81.17,0.5,cup,124
Sauce;  sofrito;  prepared from recipe,Water,59.66,0.5,cup,103
Beans;  snap;  canned;  all styles;  seasoned;  solids and liquids,Water,94.3,0.5,cup,114
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  without salt,Water,90.72,0.5,cup,92
Lotus root;  cooked;  boiled;  drained;  without salt,Water,81.42,0.5,cup,60
Turnip greens;  canned;  solids and liquids,Water,94.69,0.5,cup,117
Asparagus;  canned;  no salt added;  solids and liquids,Water,94.32,0.5,cup,122
Soup;  cream of onion;  canned;  condensed,Water,81,0.5,cup,126
PREGO Pasta;  Heart Smart- Traditional Sauce;  ready-to-serve,Water,85.4,0.5,cup,130
Egg custards;  dry mix;  prepared with whole milk,Energy,122,0.5,cup,141
PACE;  Salsa Refried Beans,Energy,60,0.5,cup,120
WORTHINGTON Vegetable Skallops;  canned;  unprepared,Energy,109,0.5,cup,85
Potato salad with egg,Energy,157,0.5,cup,125
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Energy,113,0.5,cup,140
Peas and carrots;  frozen;  cooked;  boiled;  drained;  with salt,Energy,48,0.5,cup,80
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Energy,60,0.5,cup,91
Gelatin desserts;  dry mix;  reduced calorie;  with aspartame;  prepared with water,Energy,20,0.5,cup,117
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Energy,111,0.5,cup,128
Puddings;  lemon;  dry mix;  instant;  prepared with whole milk,Energy,115,0.5,cup,147
Turnip greens;  frozen;  cooked;  boiled;  drained;  with salt,Energy,29,0.5,cup,82
Puddings;  coconut cream;  dry mix;  regular;  prepared with whole milk,Energy,114,0.5,cup,140
Pudding;  lemon;  dry mix;  regular;  prepared with sugar;  egg yolk and water,Energy,109,0.5,cup,127
CAMPBELL'S Red and White;  Chicken Barley with Mushrooms Soup;  condensed,Energy,71,0.5,cup,126
Desserts;  egg custard;  baked;  prepared-from-recipe,Energy,104,0.5,cup,141
Ice creams;  vanilla;  fat free,Energy,138,0.5,cup,67
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Energy,107,0.5,cup,147
Gelatin desserts;  dry mix;  prepared with water,Energy,62,0.5,cup,135
KASHI;  Pilaf;  7 Whole Grain;  unprepared,Energy,375,0.5,cup,140
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  with salt,Energy,28,0.5,cup,92
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Energy,34,0.5,cup,95
Puddings;  chocolate;  dry mix;  regular;  prepared with whole milk,Energy,120,0.5,cup,142
Potatoes;  baked;  flesh and skin;  with salt,Energy,93,0.5,cup,61
Desserts;  apple crisp;  prepared-from-recipe,Energy,161,0.5,cup,141
Puddings;  chocolate;  dry mix;  instant;  prepared with whole milk,Energy,111,0.5,cup,147
Puddings;  rice;  dry mix;  prepared with whole milk,Energy,121,0.5,cup,128
Caribou;  hind quarter;  meat;  cooked (Alaska Native),Energy,159,0.5,cup,66
Peas;  green;  frozen;  cooked;  boiled;  drained;  with salt,Energy,78,0.5,cup,80
Puddings;  banana;  dry mix;  instant;  prepared with whole milk,Energy,115,0.5,cup,127
Puddings;  vanilla;  dry mix;  instant;  prepared with whole milk,Energy,114,0.5,cup,142
Peas;  green;  canned;  no salt added;  drained solids,Energy,69,0.5,cup,85
Puddings;  rice;  dry mix;  prepared with 2% milk,Energy,111,0.5,cup,128
Ice creams;  vanilla;  rich,Energy,249,0.5,cup,107
CAMPBELL'S Red and White;  Lentil Soup;  condensed,Energy,111,0.5,cup,126
Tofu;  firm;  prepared with calcium sulfate and magnesium chloride (nigari),Energy,70,0.5,cup,126
Puddings;  coconut cream;  dry mix;  instant;  prepared with whole milk,Energy,117,0.5,cup,147
Desserts;  flan;  caramel custard;  prepared-from-recipe,Energy,145,0.5,cup,153
Puddings;  tapioca;  dry mix;  prepared with whole milk,Energy,115,0.5,cup,128
Lotus root;  cooked;  boiled;  drained;  with salt,Energy,66,0.5,cup,60
Campbell's Pork and Beans,Energy,108,0.5,cup,130
Potatoes;  microwaved;  cooked in skin;  flesh;  with salt,Energy,100,0.5,cup,78
Puddings;  coconut cream;  dry mix;  regular;  prepared with 2% milk,Energy,104,0.5,cup,140
Frozen yogurts;  vanilla;  soft-serve,Energy,159,0.5,cup,72
Puddings;  vanilla;  dry mix;  regular;  prepared with 2% milk,Energy,101,0.5,cup,128
SILK Nog;  soymilk,Energy,74,0.5,cup,122
Potatoes;  boiled;  cooked without skin;  flesh;  with salt,Energy,86,0.5,cup,78
Egg custards;  dry mix;  prepared with 2% milk,Energy,112,0.5,cup,141
Spanish rice mix;  dry mix;  unprepared,Energy,363,0.5,cup,70
PACE;  Traditional Refried Beans,Energy,67,0.5,cup,120
Tofu;  raw;  firm;  prepared with calcium sulfate,Energy,145,0.5,cup,126
SUNSHINE;  CHEEZ-IT;  Snack Mix,Energy,438,0.5,cup,30
Puddings;  banana;  dry mix;  regular;  prepared with whole milk,Energy,111,0.5,cup,127
Campbell's Brown Sugar And Bacon Flavored Baked Beans,Energy,123,0.5,cup,130
Tofu;  raw;  regular;  prepared with calcium sulfate,Energy,76,0.5,cup,124
Peas;  green;  canned;  no salt added;  solids and liquids,Energy,53,0.5,cup,124
Potatoes;  boiled;  cooked in skin;  flesh;  with salt,Energy,87,0.5,cup,78
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Energy,34,0.5,cup,95
PACE;  Spicy Jalapeno Refried Beans,Energy,63,0.5,cup,120
Soup;  beef broth bouillon and consomme;  canned;  condensed,Energy,11,0.5,cup,124
Asparagus;  cooked;  boiled;  drained,Energy,22,0.5,cup,90
Soup;  cheese;  canned;  condensed,Energy,82,0.5,cup,124
Soybeans;  mature seeds;  sprouted;  raw,Energy,122,0.5,cup,35
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  without salt,Energy,28,0.5,cup,92
Turnip greens;  canned;  solids and liquids,Energy,14,0.5,cup,117
Tomatoes;  crushed;  canned,Energy,32,0.5,cup,121
Asparagus;  cooked;  boiled;  drained;  with salt,Energy,22,0.5,cup,90
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Energy,58,0.5,cup,124
Cereals;  QUAKER;  Quick Oats with Iron;  Dry,Energy,371,0.5,cup,40
Soup;  vegetarian vegetable;  canned;  condensed,Energy,59,0.5,cup,126
CAMPBELL'S;  Red and White;  Chicken Noodle Soup;  condensed,Energy,47,0.5,cup,123
Soup;  vegetable;  canned;  low sodium;  condensed,Energy,65,0.5,cup,126
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Energy,105,0.5,cup,128
Tomato products;  canned;  sauce;  with herbs and cheese,Energy,59,0.5,cup,122
Asparagus;  canned;  regular pack;  solids and liquids,Energy,15,0.5,cup,122
Soup;  vegetable with beef broth;  canned;  condensed,Energy,66,0.5,cup,123
Soup;  cream of onion;  canned;  condensed,Energy,88,0.5,cup,126
Soup;  cream of mushroom;  canned;  condensed,Energy,79,0.5,cup,126
HEALTHY REQUEST;  Chicken with Rice;  condensed,Energy,46,0.5,cup,126
Soup;  vegetable beef;  canned;  condensed,Energy,63,0.5,cup,126
Cereals;  QUAKER;  Quick Oats;  Dry,Energy,371,0.5,cup,40
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Energy,65,0.5,cup,91
Soup;  chicken mushroom;  canned;  condensed,Energy,100,0.5,cup,124
Soup;  pea;  green;  canned;  condensed,Energy,125,0.5,cup,128
Soup;  clam chowder;  new england;  canned;  condensed,Energy,72,0.5,cup,126
Cereals;  QUAKER;  Whole Wheat Natural Cereal;  dry,Energy,333,0.5,cup,40
Soup;  cream of potato;  canned;  condensed,Energy,74,0.5,cup,124
Sauce;  sofrito;  prepared from recipe,Energy,237,0.5,cup,103
Soup;  chicken vegetable;  canned;  condensed,Energy,61,0.5,cup,121
Ice cream;  soft serve;  chocolate,Energy,222,0.5,cup,86
Potatoes;  baked;  flesh;  with salt,Energy,93,0.5,cup,61
Soup;  chicken with rice;  canned;  condensed,Energy,68,0.5,cup,126
Asparagus;  canned;  no salt added;  solids and liquids,Energy,15,0.5,cup,122
Cheese;  ricotta;  whole milk,Energy,174,0.5,cup,124
Soup;  chicken noodle;  canned;  condensed,Energy,48,0.5,cup,124
Abiyuch;  raw,Energy,69,0.5,cup,114
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Energy,88,0.5,cup,130
Beans;  snap;  canned;  all styles;  seasoned;  solids and liquids,Energy,16,0.5,cup,114
Peas and carrots;  frozen;  unprepared,Energy,53,0.5,cup,70
Yogurt;  frozen;  flavors not chocolate;  nonfat milk;  with low-calorie sweetener,Energy,104,0.5,cup,68
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Energy,86,0.5,cup,78
Cheese;  ricotta;  part skim milk,Energy,138,0.5,cup,124
Peas and onions;  frozen;  unprepared,Energy,70,0.5,cup,69
Soup;  cream of celery;  canned;  condensed,Energy,72,0.5,cup,126
Potatoes;  baked;  flesh;  without salt,Energy,93,0.5,cup,61
CAMPBELL'S Red and White;  Italian Style Wedding Soup;  condensed,Energy,71,0.5,cup,126
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Energy,15,0.5,cup,120
Soup;  bean with pork;  canned;  condensed,Energy,129,0.5,cup,130
Soup;  beef noodle;  canned;  condensed,Energy,67,0.5,cup,125
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Energy,15,0.5,cup,120
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Energy,78,0.5,cup,80
Rowal;  raw,Energy,111,0.5,cup,114
Beans;  snap;  yellow;  canned;  regular pack;  solids and liquids,Energy,15,0.5,cup,120
Potatoes;  hash brown;  frozen;  plain;  unprepared,Energy,82,0.5,cup,105
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Energy,100,0.5,cup,78
Lotus root;  cooked;  boiled;  drained;  without salt,Energy,66,0.5,cup,60
Fat free ice cream;  no sugar added;  flavors other than chocolate,Energy,129,0.5,cup,68
Peas;  green;  canned;  regular pack;  solids and liquids,Energy,58,0.5,cup,124
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Energy,87,0.5,cup,78
Beans;  lima;  immature seeds;  canned;  regular pack;  solids and liquids,Energy,71,0.5,cup,124
PREGO Pasta;  Heart Smart- Traditional Sauce;  ready-to-serve,Energy,54,0.5,cup,130
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra light syrup;  solids and liquids,Energy,45,0.5,cup,123
Soup;  cream of celery;  canned;  condensed,Energy,301,0.5,cup,126
Soup;  vegetable beef;  canned;  condensed,Energy,264,0.5,cup,126
Cheese;  ricotta;  part skim milk,Energy,578,0.5,cup,124
Soup;  bean with pork;  canned;  condensed,Energy,540,0.5,cup,130
Soup;  beef noodle;  canned;  condensed,Energy,280,0.5,cup,125
Asparagus;  cooked;  boiled;  drained,Energy,94,0.5,cup,90
Abiyuch;  raw,Energy,290,0.5,cup,114
Peas and carrots;  frozen;  unprepared,Energy,222,0.5,cup,70
Potatoes;  hash brown;  frozen;  plain;  unprepared,Energy,343,0.5,cup,105
Rowal;  raw,Energy,462,0.5,cup,114
Beans;  snap;  canned;  all styles;  seasoned;  solids and liquids,Energy,67,0.5,cup,114
Ice cream;  soft serve;  chocolate,Energy,930,0.5,cup,86
Soup;  cream of onion;  canned;  condensed,Energy,368,0.5,cup,126
Tomatoes;  crushed;  canned,Energy,134,0.5,cup,121
Yogurt;  frozen;  flavors not chocolate;  nonfat milk;  with low-calorie sweetener,Energy,433,0.5,cup,68
Peas;  green;  frozen;  cooked;  boiled;  drained;  without salt,Energy,326,0.5,cup,80
Tomato products;  canned;  sauce;  with herbs and cheese,Energy,247,0.5,cup,122
Beans;  lima;  immature seeds;  canned;  regular pack;  solids and liquids,Energy,297,0.5,cup,124
Asparagus;  canned;  no salt added;  solids and liquids,Energy,62,0.5,cup,122
Beans;  snap;  green;  canned;  no salt added;  solids and liquids,Energy,64,0.5,cup,120
Soup;  cream of mushroom;  canned;  condensed,Energy,331,0.5,cup,126
Asparagus;  canned;  regular pack;  solids and liquids,Energy,62,0.5,cup,122
Soup;  cream of potato;  canned;  condensed,Energy,308,0.5,cup,124
Soup;  vegetable with beef broth;  canned;  condensed,Energy,276,0.5,cup,123
Potatoes;  microwaved;  cooked in skin;  flesh;  without salt,Energy,418,0.5,cup,78
Soup;  beef broth bouillon and consomme;  canned;  condensed,Energy,48,0.5,cup,124
Turnip greens;  canned;  solids and liquids,Energy,59,0.5,cup,117
Soup;  vegetarian vegetable;  canned;  condensed,Energy,247,0.5,cup,126
Soup;  cream of chicken;  canned;  condensed;  reduced sodium,Energy,243,0.5,cup,124
Potatoes;  boiled;  cooked without skin;  flesh;  without salt,Energy,360,0.5,cup,78
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra light syrup;  solids and liquids,Energy,188,0.5,cup,123
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  without salt,Energy,143,0.5,cup,95
Cereals;  QUAKER;  Whole Wheat Natural Cereal;  dry,Energy,1393,0.5,cup,40
CAMPBELL'S;  Red and White;  Chicken Noodle Soup;  condensed,Energy,197,0.5,cup,123
Sauce;  sofrito;  prepared from recipe,Energy,992,0.5,cup,103
Beans;  snap;  yellow;  canned;  no salt added;  solids and liquids,Energy,64,0.5,cup,120
Soup;  chicken with rice;  canned;  condensed,Energy,285,0.5,cup,126
Soup;  cheese;  canned;  condensed,Energy,342,0.5,cup,124
Soup;  chicken noodle;  canned;  condensed,Energy,200,0.5,cup,124
Peas and onions;  frozen;  unprepared,Energy,293,0.5,cup,69
Fruit cocktail;  (peach and pineapple and pear and grape and cherry);  canned;  extra heavy syrup;  solids and liquids,Energy,368,0.5,cup,130
Potatoes;  baked;  flesh;  without salt,Energy,390,0.5,cup,61
Cheese;  ricotta;  whole milk,Energy,728,0.5,cup,124
Soup;  clam chowder;  new england;  canned;  condensed,Energy,303,0.5,cup,126
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  without salt,Energy,116,0.5,cup,92
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  without salt,Energy,273,0.5,cup,91
Lotus root;  cooked;  boiled;  drained;  without salt,Energy,278,0.5,cup,60
Soup;  chicken mushroom;  canned;  condensed,Energy,419,0.5,cup,124
Cereals;  QUAKER;  Quick Oats with Iron;  Dry,Energy,1552,0.5,cup,40
Cereals;  QUAKER;  Quick Oats;  Dry,Energy,1552,0.5,cup,40
Soup;  pea;  green;  canned;  condensed,Energy,523,0.5,cup,128
Peas;  green;  canned;  regular pack;  solids and liquids,Energy,241,0.5,cup,124
Asparagus;  cooked;  boiled;  drained;  with salt,Energy,94,0.5,cup,90
Beans;  snap;  yellow;  canned;  regular pack;  solids and liquids,Energy,63,0.5,cup,120
HEALTHY REQUEST;  Chicken with Rice;  condensed,Energy,192,0.5,cup,126
Potatoes;  boiled;  cooked in skin;  flesh;  without salt,Energy,365,0.5,cup,78
Soup;  vegetable;  canned;  low sodium;  condensed,Energy,273,0.5,cup,126
Fat free ice cream;  no sugar added;  flavors other than chocolate,Energy,541,0.5,cup,68
Soup;  chicken vegetable;  canned;  condensed,Energy,255,0.5,cup,121
Potatoes;  boiled;  cooked without skin;  flesh;  with salt,Energy,360,0.5,cup,78
Soybeans;  mature seeds;  sprouted;  raw,Energy,510,0.5,cup,35
Puddings;  tapioca;  dry mix;  prepared with whole milk,Energy,481,0.5,cup,128
Turnip greens;  frozen;  cooked;  boiled;  drained;  with salt,Energy,123,0.5,cup,82
Puddings;  rice;  dry mix;  prepared with whole milk,Energy,507,0.5,cup,128
Puddings;  tapioca;  dry mix;  prepared with 2% milk,Energy,438,0.5,cup,128
Potatoes;  baked;  flesh;  with salt,Energy,390,0.5,cup,61
PACE;  Salsa Refried Beans,Energy,251,0.5,cup,120
Lotus root;  cooked;  boiled;  drained;  with salt,Energy,278,0.5,cup,60
Puddings;  banana;  dry mix;  regular;  prepared with whole milk,Energy,463,0.5,cup,127
PACE;  Traditional Refried Beans,Energy,279,0.5,cup,120
Puddings;  banana;  dry mix;  instant;  prepared with whole milk,Energy,480,0.5,cup,127
Puddings;  chocolate;  dry mix;  regular;  prepared with 2% milk,Energy,463,0.5,cup,128
Spinach;  frozen;  chopped or leaf;  cooked;  boiled;  drained;  with salt,Energy,143,0.5,cup,95
Ice creams;  vanilla;  rich,Energy,1042,0.5,cup,107
Vegetables;  mixed;  frozen;  cooked;  boiled;  drained;  with salt,Energy,252,0.5,cup,91
Frozen yogurts;  vanilla;  soft-serve,Energy,665,0.5,cup,72
Campbell's Brown Sugar And Bacon Flavored Baked Beans,Energy,515,0.5,cup,130
Egg custards;  dry mix;  prepared with whole milk,Energy,512,0.5,cup,141
Ice creams;  vanilla;  fat free,Energy,578,0.5,cup,67
Potato salad with egg,Energy,658,0.5,cup,125
CAMPBELL'S Red and White;  Chicken Barley with Mushrooms Soup;  condensed,Energy,297,0.5,cup,126
Broccoli;  frozen;  spears;  cooked;  boiled;  drained;  with salt,Energy,117,0.5,cup,92
SUNSHINE;  CHEEZ-IT;  Snack Mix,Energy,1833,0.5,cup,30
Pudding;  lemon;  dry mix;  regular;  prepared with sugar;  egg yolk and water,Energy,458,0.5,cup,127
Caribou;  hind quarter;  meat;  cooked (Alaska Native),Energy,664,0.5,cup,66
CAMPBELL'S Red and White;  Italian Style Wedding Soup;  condensed,Energy,297,0.5,cup,126
KASHI;  Pilaf;  7 Whole Grain;  unprepared,Energy,1569,0.5,cup,140
CAMPBELL'S Red and White;  Lentil Soup;  condensed,Energy,465,0.5,cup,126
Puddings;  vanilla;  dry mix;  regular;  prepared with whole milk,Energy,473,0.5,cup,140
SILK Nog;  soymilk,Energy,310,0.5,cup,122
Puddings;  coconut cream;  dry mix;  instant;  prepared with 2% milk,Energy,448,0.5,cup,147
Tofu;  raw;  regular;  prepared with calcium sulfate,Energy,318,0.5,cup,124
Egg custards;  dry mix;  prepared with 2% milk,Energy,470,0.5,cup,141
